#,Country,Continent,Daily Oil Consumption (Barrels),World Share,Yearly Gallons Per Capita,Price Per Gallon (USD),Price Per Liter (USD),Price Per Liter (PKR),,
84,Ghana,Africa,88000,0.09%,47.4,4.87,1.29,271.99,,
85,Slovakia,Europe,81587,0.08%,229.8,7.5,1.98,418.98,,
86,Ethiopia,Africa,74000,0.08%,10.9,2.7,0.71,150.59,,
87,Serbia,Europe,74000,0.08%,128.1,6.64,1.76,371.18,,
88,Tanzania,Africa,71999,0.07%,20.8,4.86,1.28,271.57,,
89,Croatia,Europe,69000,0.07%,251.3,7.24,1.91,404.39,,
90,Bahrain,Asia,62000,0.06%,666.6,2.01,0.53,112.31,,
91,Lithuania,Europe,61612,0.06%,326.9,8.11,2.14,453.24,,
92,Yemen,Asia,60000,0.06%,33.9,1.96,0.52,109.35,,
93,Honduras,North America,58000,0.06%,95.9,5.49,1.45,306.46,,
94,Trinidad and Tobago,North America,57000,0.06%,634.3,3.76,0.99,210.02,,
95,Luxembourg,Europe,56194,0.06%,1487.2,7.91,2.09,441.82,,
96,Costa Rica,North America,55000,0.06%,172.1,5.87,1.55,327.83,,
97,Jamaica,North America,54000,0.06%,284.8,6.36,1.68,355.32,,
98,Uruguay,South America,53000,0.06%,237.3,7.64,2.02,427.02,,
99,El Salvador,North America,52000,0.05%,125.4,4.31,1.14,240.9,,
100,Slovenia,Europe,52298,0.05%,386.5,6.15,1.62,343.48,,
101,Cyprus,Asia,52000,0.05%,681.2,7.04,1.86,393.18,,
102,Côte d'Ivoire,Africa,51000,0.05%,32.8,4.47,1.18,249.57,,
103,Paraguay,South America,51000,0.05%,115.4,5.3,1.4,295.89,,
104,Uzbekistan,Asia,49000,0.05%,23.9,3.39,0.9,189.29,,
105,Senegal,Africa,49000,0.05%,50.1,5.39,1.42,300.96,,
106,Cambodia,Asia,48000,0.05%,46.7,5.78,1.53,322.96,,
107,Malta,Europe,47000,0.05%,1652.2,5.28,1.4,295.04,,
108,Nepal,Asia,43000,0.04%,24.2,5.39,1.42,301.18,,
109,Mozambique,Africa,40000,0.04%,22,4.94,1.3,275.8,,
110,Cameroon,Africa,40000,0.04%,25.6,3.93,1.04,219.33,,
111,Kyrgyzstan,Asia,40000,0.04%,100.9,3.14,0.83,175.55,,
112,Latvia,Europe,37694,0.04%,292.7,8.28,2.19,462.55,,
113,Papua New Guinea,Oceania,37001,0.04%,68.6,5.87,1.55,327.83,,
114,Nicaragua,South America,37000,0.04%,90,5.18,1.37,289.54,,
115,Benin,Africa,36000,0.04%,50.8,3.63,0.96,202.83,,
116,Afghanistan,Asia,35000,0.04%,15.2,3.62,0.96,201.98,,
117,Bosnia and Herzegovina,Europe,35000,0.04%,158.4,6.55,1.73,366.11,,
118,Georgia,Europe,33000,0.03%,126,5.04,1.33,281.51,,
119,Uganda,Africa,32001,0.03%,12.4,5.7,1.51,318.52,,
120,Estonia,Europe,28855,0.03%,336,8.35,2.21,466.57,,
121,Mauritius,Africa,28000,0.03%,340.2,6.36,1.68,355.32,,
122,Albania,Europe,27000,0.03%,143.4,8,2.11,447.11,,
123,Namibia,Africa,26000,0.03%,169,4.8,1.27,268.18,,
124,Zimbabwe,Africa,24000,0.03%,26.2,6.13,1.62,342.42,,
125,State of Palestine,Asia,24001,0.03%,79.4,6.62,1.75,370.13,,
126,Burkina Faso,Africa,23000,0.02%,18.9,4.33,1.14,241.74,,
127,Haiti,North America,23000,0.02%,32.5,2.18,0.58,122.04,,
128,Mali,Africa,21999,0.02%,18.8,4.61,1.22,257.61,,
129,Zambia,Africa,22000,0.02%,20.6,5.59,1.48,312.6,,
130,DR Congo,Africa,21000,0.02%,4.1,4.43,1.17,247.46,,
131,Tajikistan,Asia,21000,0.02%,37.2,5.94,1.57,332.06,,
132,Mongolia,Asia,21000,0.02%,105.3,4.67,1.23,260.78,,
133,Botswana,Africa,21000,0.02%,149,4.29,1.13,239.42,,
134,North Macedonia,Africa,21000,0.02%,154.7,7.12,1.88,397.62,,
135,Gabon,Africa,21000,0.02%,160.3,3.65,0.97,204.1,,
136,Bahamas,North America,20036,0.02%,812.7,6.48,1.71,361.88,,
137,New Caledonia,Oceania,20000,0.02%,1118.2,8.19,2.16,457.47,,
138,Guinea,Africa,19001,0.02%,24.8,5.13,1.36,286.79,,
139,Iceland,Europe,19090,0.02%,880.9,9.83,2.6,549.48,,
140,North Korea,Asia,18000,0.02%,10.9,54.89,14.5,3066.75,,
141,Madagascar,Africa,18000,0.02%,11.1,3.86,1.02,215.94,,
142,Laos,Asia,18000,0.02%,40.3,7.23,1.91,403.75,,
143,Moldova,Europe,18001,0.02%,67.9,6.75,1.78,376.89,,
144,Congo,Africa,17000,0.02%,52.3,3.94,1.04,219.96,,
145,Macao,Asia,17110,0.02%,428,5.42,1.43,302.87,,
146,Fiji,Oceania,16000,0.02%,281.2,5.27,1.39,294.41,,
147,Brunei ,Asia,16000,0.02%,584.3,0.83,0.22,46.53,,
148,Togo,Africa,15000,0.02%,30.6,3.18,0.84,177.45,,
149,Guyana,South America,14000,0.01%,278.2,4.6,1.22,257.18,,
150,Suriname,South America,13000,0.01%,352.8,4.26,1.13,237.94,,
151,Maldives,Asia,11000,0.01%,354.6,3.6,0.95,201.14,,
152,Barbados,North America,11001,0.01%,590.1,8.27,2.18,461.92,,
153,South Sudan,Africa,8001,0.01%,11.3,4.8,1.27,268.18,,
154,Liberia,Africa,8000,0.01%,26.7,4.9,1.3,273.89,,
155,Aruba,South America,8000,0.01%,1169.4,6.08,1.61,339.67,,
156,Seychelles,Africa,7299,0.01%,1169.1,6.9,1.82,385.35,,
157,Montenegro,Europe,7000,0.01%,171.1,6.46,1.71,361.03,,
158,Rwanda,Africa,6700,0.01%,8.8,5.36,1.42,299.27,,
159,Sierra Leone,Africa,6500,0.01%,13.6,5.17,1.37,288.91,,
160,Malawi,Africa,6001,0.01%,5.3,5.12,1.35,285.95,,
161,Armenia,Asia,6000,0.01%,31.3,4.77,1.26,266.49,,
162,Somalia,Africa,5600,0.01%,6.1,3.03,0.8,169.2,,
163,Cabo Verde,Africa,5600,0.01%,161.6,6.86,1.81,383.24,,
164,Lesotho,Africa,5001,0.01%,36.9,5.68,1.5,317.46,,
165,Cayman Islands,North America,4401,0.00%,1078.3,6.27,1.66,350.24,,
166,Belize,North America,4001,0.00%,166.5,6.68,1.76,373.09,,
167,Gambia,Africa,3800,0.00%,27.1,5.04,1.33,281.51,,
168,Bhutan,Asia,3001,0.00%,62.4,4.46,1.18,249.15,,
169,Central African Republic,Africa,2800,0.00%,9.5,9.06,2.39,506.12,,
170,Grenada,North America,2000,0.00%,278.1,4.62,1.22,258.24,,
171,Burundi,Africa,1499,0.00%,2.2,5.09,1.34,284.26,,
172,Comoros,Africa,1300,0.00%,25,5.15,1.36,287.64,,
173,Dominica,North America,1301,0.00%,279.7,4.78,1.26,267.34,,
174,British Virgin Islands,North America,1240,0.00%,647.6,3.6,0.95,200.93,,
175,Vanuatu,Oceania,1100,0.00%,60.6,4.92,1.3,274.95,,
176,Tonga,Oceania,899,0.00%,136.3,16.2,4.28,905.22,,
177,Saint Pierre & Miquelon,North America,660,0.00%,1705.1,8.27,2.19,462.13,,
178,Kiribati,Oceania,400,0.00%,54.5,4.09,1.08,228.42,,
179,Montserrat,North America,400,0.00%,1231.1,4.57,1.21,255.07,,
180,Saint Helena,Africa,70,0.00%,180.2,5.53,1.46,309.21,,
181,Niue,Oceania,51,0.00%,484.4,11.43,3.02,638.73,,
